ICD,Desc
G44.53,Primary thunderclap headache 
G44.59,Other complicated headache syndrome 
G44.81,Hypnic headache 
G44.82,Headache associated with sexual activity 
G44.83,Primary cough headache 
G44.84,Primary exertional headache 
G44.85,Primary stabbing headache 
G44.89,Other headache syndrome 
G35,Multiple sclerosis 
G36.0,Neuromyelitis optica [Devic] 
G37.0,Diffuse sclerosis of central nervous system 
G37.3,Acute transverse myelitis in demyelinating disease of central nervous system 
G37.3,Acute transverse myelitis in demyelinating disease of central nervous system 
G37.3,Acute transverse myelitis in demyelinating disease of central nervous system 
G37.8,Other specified demyelinating diseases of central nervous system 
G37.9,Demyelinating disease of central nervous system unspecified 
G81.00,Flaccid hemiplegia affecting unspecified side 
G81.01,Flaccid hemiplegia affecting right dominant side 
G81.03,Flaccid hemiplegia affecting right nondominant side 
G81.10,Spastic hemiplegia affecting unspecified side 
G81.11,Spastic hemiplegia affecting right dominant side 
G81.13,Spastic hemiplegia affecting right nondominant side 
G81.90,Hemiplegia unspecified affecting unspecified side 
G81.91,Hemiplegia unspecified affecting right dominant side 
G81.93,Hemiplegia unspecified affecting right nondominant side 
G81.90,Hemiplegia unspecified affecting unspecified side 
G81.91,Hemiplegia unspecified affecting right dominant side 
G81.93,Hemiplegia unspecified affecting right nondominant side 
G80.1,Spastic diplegic cerebral palsy 
G80.2,Spastic hemiplegic cerebral palsy 
G80.0,Spastic quadriplegic cerebral palsy 
G80.8,Other cerebral palsy 
G80.2,Spastic hemiplegic cerebral palsy 
G80.8,Other cerebral palsy 
G80.9,Cerebral palsy unspecified 
G82.50,Quadriplegia unspecified 
G82.51,Quadriplegia C1-C4 complete 
G82.52,Quadriplegia C1-C4 incomplete 
G82.53,Quadriplegia C5-C7 complete 
G82.54,Quadriplegia C5-C7 incomplete 
G82.50,Quadriplegia unspecified 
G82.20,Paraplegia unspecified 
G83.0,Diplegia of upper limbs 
G83.10,Monoplegia of lower limb affecting unspecified side 
G83.11,Monoplegia of lower limb affecting right dominant side 
G83.13,Monoplegia of lower limb affecting right nondominant side 
G83.20,Monoplegia of upper limb affecting unspecified side 
G83.21,Monoplegia of upper limb affecting right dominant side 
G83.23,Monoplegia of upper limb affecting right nondominant side 
G83.30,Monoplegia unspecified affecting unspecified side 
G83.4,Cauda equina syndrome 
G83.4,Cauda equina syndrome 
G83.5,Locked-in state 
G83.89,Other specified paralytic syndromes 
G83.9,Paralytic syndrome unspecified 
G40.A01,Absence epileptic syndrome not intractable with status epilepticus 
G40.A11,Absence epileptic syndrome intractable with status epilepticus 
G40.309,Generalized idiopathic epilepsy and epileptic syndromes not intractable without status epilepticus 
G40.411,Other generalized epilepsy and epileptic syndromes intractable with status epilepticus 
G40.A01,Absence epileptic syndrome not intractable with status epilepticus 
G40.301,Generalized idiopathic epilepsy and epileptic syndromes not intractable with status epilepticus 
G40.201,Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures not intractable with status epilepticus 
G40.211,Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures intractable with status epilepticus 
G40.101,Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures not intractable with status epilepticus 
G40.111,Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures intractable with status epilepticus 
G40.821,Epileptic spasms not intractable with status epilepticus 
G40.823,Epileptic spasms intractable with status epilepticus 
G40.101,Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures not intractable with status epilepticus 
G40.119,Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures intractable without status epilepticus 
G40.501,Epileptic seizures related to external causes not intractable with status epilepticus 
G40.119,Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures intractable without status epilepticus 
G40.901,Epilepsy unspecified not intractable with status epilepticus 
G40.911,Epilepsy unspecified intractable with status epilepticus 
G43.109,Migraine with aura not intractable without status migrainosus 
G43.119,Migraine with aura intractable without status migrainosus 
G43.101,Migraine with aura not intractable with status migrainosus 
G43.111,Migraine with aura intractable with status migrainosus 
G43.009,Migraine without aura not intractable without status migrainosus 
G43.019,Migraine without aura intractable without status migrainosus 
G43.001,Migraine without aura not intractable with status migrainosus 
G43.011,Migraine without aura intractable with status migrainosus 
G43.809,Other migraine not intractable without status migrainosus 
G43.819,Other migraine intractable without status migrainosus 
G43.801,Other migraine not intractable with status migrainosus 
G43.811,Other migraine intractable with status migrainosus 
G43.409,Hemiplegic migraine not intractable without status migrainosus 
G43.419,Hemiplegic migraine intractable without status migrainosus 
G43.401,Hemiplegic migraine not intractable with status migrainosus 
G43.411,Hemiplegic migraine intractable with status migrainosus 
G43.829,Menstrual migraine not intractable without status migrainosus 
G43.839,Menstrual migraine intractable without status migrainosus 
G43.821,Menstrual migraine not intractable with status migrainosus 
G43.831,Menstrual migraine intractable with status migrainosus 
G43.509,Persistent migraine aura without cerebral infarction not intractable without status migrainosus 
G43.519,Persistent migraine aura without cerebral infarction intractable without status migrainosus 
G43.501,Persistent migraine aura without cerebral infarction not intractable with status migrainosus 
G43.511,Persistent migraine aura without cerebral infarction intractable with status migrainosus 
G43.609,Persistent migraine aura with cerebral infarction not intractable without status migrainosus 
G43.619,Persistent migraine aura with cerebral infarction intractable without status migrainosus 
G43.601,Persistent migraine aura with cerebral infarction not intractable with status migrainosus 
G43.611,Persistent migraine aura with cerebral infarction intractable with status migrainosus 
G43.709,Chronic migraine without aura not intractable without status migrainosus 
G43.719,Chronic migraine without aura intractable without status migrainosus 
G43.701,Chronic migraine without aura not intractable with status migrainosus 
G43.711,Chronic migraine without aura intractable with status migrainosus 
G43.809,Other migraine not intractable without status migrainosus 
G43.819,Other migraine intractable without status migrainosus 
G43.801,Other migraine not intractable with status migrainosus 
G43.811,Other migraine intractable with status migrainosus 
G43.909,Migraine unspecified not intractable without status migrainosus 
G43.919,Migraine unspecified intractable without status migrainosus 
G43.901,Migraine unspecified not intractable with status migrainosus 
G43.911,Migraine unspecified intractable with status migrainosus 
G47.419,Narcolepsy without cataplexy 
G47.411,Narcolepsy with cataplexy 
G47.429,Narcolepsy in conditions classified elsewhere without cataplexy 
G47.421,Narcolepsy in conditions classified elsewhere with cataplexy 
G93.0,Cerebral cysts 
G93.1,Anoxic brain damage not elsewhere classified 
G93.2,Benign intracranial hypertension 
G93.40,Encephalopathy unspecified 
G93.41,Metabolic encephalopathy 
G93.49,Other encephalopathy 
G93.5,Compression of brain 
G93.6,Cerebral edema 
G93.81,Temporal sclerosis 
G93.82,Brain death 
G93.89,Other specified disorders of brain 
G93.9,Disorder of brain unspecified 
G97.1,Other reaction to spinal and lumbar puncture 
G97.82,Other postprocedural complications and disorders of nervous system 
G96.12,Meningeal adhesions (cerebral) (spinal) 
G97.41,Accidental puncture or laceration of dura during a procedure 
G96.11,Dural tear 
G96.0,Cerebrospinal fluid leak 
G92,Toxic encephalopathy 
G96.8,Other specified disorders of central nervous system 
G96.9,Disorder of central nervous system unspecified 
G50.0,Trigeminal neuralgia 
G50.1,Atypical facial pain 
G50.8,Other disorders of trigeminal nerve 
G50.9,Disorder of trigeminal nerve unspecified 
G51.0,Bell's palsy 
G51.1,Geniculate ganglionitis 
G51.8,Other disorders of facial nerve 
G51.9,Disorder of facial nerve unspecified 
G52.0,Disorders of olfactory nerve 
G52.1,Disorders of glossopharyngeal nerve 
G52.1,Disorders of glossopharyngeal nerve 
G52.2,Disorders of vagus nerve 
G52.8,Disorders of other specified cranial nerves 
G52.3,Disorders of hypoglossal nerve 
G52.7,Disorders of multiple cranial nerves 
G52.9,Cranial nerve disorder unspecified 
G54.0,Brachial plexus disorders 
G54.1,Lumbosacral plexus disorders 
G54.2,Cervical root disorders not elsewhere classified 
G54.3,Thoracic root disorders not elsewhere classified 
G54.4,Lumbosacral root disorders not elsewhere classified 
G54.5,Neuralgic amyotrophy 
G54.6,Phantom limb syndrome with pain 
G54.8,Other nerve root and plexus disorders 
G54.9,Nerve root and plexus disorder unspecified 
G56.00,Carpal tunnel syndrome unspecified upper limb 
G56.10,Other lesions of median nerve unspecified upper limb 
G56.20,Lesion of ulnar nerve unspecified upper limb 
G56.30,Lesion of radial nerve unspecified upper limb 
G56.40,Causalgia of unspecified upper limb 
G58.7,Mononeuritis multiplex 
G56.80,Other specified mononeuropathies of unspecified upper limb 
G56.90,Unspecified mononeuropathy of unspecified upper limb 
G57.00,Lesion of sciatic nerve unspecified lower limb 
G57.10,Meralgia paresthetica unspecified lower limb 
G57.20,Lesion of femoral nerve unspecified lower limb 
G57.30,Lesion of lateral popliteal nerve unspecified lower limb 
G57.40,Lesion of medial popliteal nerve unspecified lower limb 
G57.50,Tarsal tunnel syndrome unspecified lower limb 
G57.60,Lesion of plantar nerve unspecified lower limb 
G57.70,Causalgia of unspecified lower limb 
G57.80,Other specified mononeuropathies of unspecified lower limb 
G57.90,Unspecified mononeuropathy of unspecified lower limb 
G58.9,Mononeuropathy unspecified 
G60.0,Hereditary motor and sensory neuropathy 
G60.0,Hereditary motor and sensory neuropathy 
G60.0,Hereditary motor and sensory neuropathy 
G60.1,Refsum's disease 
G60.3,Idiopathic progressive neuropathy 
G60.8,Other hereditary and idiopathic neuropathies 
G60.9,Hereditary and idiopathic neuropathy unspecified 
G61.0,Guillain-Barre syndrome 
G63,Polyneuropathy in diseases classified elsewhere 
E13.42,Other specified diabetes mellitus with diabetic polyneuropathy 
G63,Polyneuropathy in diseases classified elsewhere 
G63,Polyneuropathy in diseases classified elsewhere 
G62.1,Alcoholic polyneuropathy 
G62.0,Drug-induced polyneuropathy 
G62.2,Polyneuropathy due to other toxic agents 
G61.81,Chronic inflammatory demyelinating polyneuritis 
G62.81,Critical illness polyneuropathy 
G61.89,Other inflammatory polyneuropathies 
G61.9,Inflammatory polyneuropathy unspecified 
G70.00,Myasthenia gravis without (acute) exacerbation 
G70.01,Myasthenia gravis with (acute) exacerbation 
G73.3,Myasthenic syndromes in other diseases classified elsewhere 
G70.1,Toxic myoneural disorders 
G70.80,Lambert-Eaton syndrome unspecified 
G73.1,Lambert-Eaton syndrome in neoplastic disease 
G70.81,Lambert-Eaton syndrome in disease classified elsewhere 
G70.89,Other specified myoneural disorders 
G70.9,Myoneural disorder unspecified 
G71.2,Congenital myopathies 
G71.0,Muscular dystrophy 
G71.11,Myotonic muscular dystrophy 
G71.12,Myotonia congenita 
G71.13,Myotonic chondrodystrophy 
G71.14,Drug induced myotonia 
G71.19,Other specified myotonic disorders 
G72.3,Periodic paralysis 
G72.2,Myopathy due to other toxic agents 
G73.7,Myopathy in diseases classified elsewhere 
G73.7,Myopathy in diseases classified elsewhere 
G72.41,Inclusion body myositis [IBM] 
G72.49,Other inflammatory and immune myopathies not elsewhere classified 
G72.81,Critical illness myopathy 
G72.89,Other specified myopathies 
G72.9,Myopathy unspecified 
H44.009,Unspecified purulent endophthalmitis unspecified eye 
H44.009,Unspecified purulent endophthalmitis unspecified eye 
H44.019,Panophthalmitis (acute) unspecified eye 
H44.009,Unspecified purulent endophthalmitis unspecified eye 
H44.029,Vitreous abscess (chronic) unspecified eye 
H44.139,Sympathetic uveitis unspecified eye 
H44.119,Panuveitis unspecified eye 
H44.129,Parasitic endophthalmitis unspecified unspecified eye 
H16.249,Ophthalmia nodosa unspecified eye 
H44.19,Other endophthalmitis 
H44.30,Unspecified degenerative disorder of globe 
H44.23,Degenerative myopia bilateral 
H44.329,Siderosis of eye unspecified eye 
H44.319,Chalcosis unspecified eye 
H44.399,Other degenerative disorders of globe unspecified eye 
H44.40,Unspecified hypotony of eye 
H44.449,Primary hypotony of unspecified eye 
H44.429,Hypotony of unspecified eye due to ocular fistula 
H44.439,Hypotony of eye due to other ocular disorders unspecified eye 
H44.419,Flat anterior chamber hypotony of unspecified eye 
H44.50,Unspecified degenerated conditions of globe 
H44.529,Atrophy of globe unspecified eye 
H44.519,Absolute glaucoma unspecified eye 
H44.819,Hemophthalmos unspecified eye 
H44.539,Leucocoria unspecified eye 
H44.609,Unspecified retained (old) intraocular foreign body magnetic unspecified eye 
H44.619,Retained (old) magnetic foreign body in anterior chamber unspecified eye 
H44.629,Retained (old) magnetic foreign body in iris or ciliary body unspecified eye 
H44.639,Retained (old) magnetic foreign body in lens unspecified eye 
H44.659,Retained (old) magnetic foreign body in vitreous body unspecified eye 
H44.649,Retained (old) magnetic foreign body in posterior wall of globe unspecified eye 
H44.699,Retained (old) intraocular foreign body magnetic in other or multiple sites unspecified eye 
H44.709,Unspecified retained (old) intraocular foreign body nonmagnetic unspecified eye 
H44.719,Retained (nonmagnetic) (old) foreign body in anterior chamber unspecified eye 
H44.729,Retained (nonmagnetic) (old) foreign body in iris or ciliary body unspecified eye 
H44.739,Retained (nonmagnetic) (old) foreign body in lens unspecified eye 
H44.759,Retained (nonmagnetic) (old) foreign body in vitreous body unspecified eye 
H44.749,Retained (nonmagnetic) (old) foreign body in posterior wall of globe unspecified eye 
H44.799,Retained (old) intraocular foreign body nonmagnetic in other or multiple sites unspecified eye 
H44.829,Luxation of globe unspecified eye 
H44.89,Other disorders of globe 
H44.9,Unspecified disorder of globe 
H33.009,Unspecified retinal detachment with retinal break unspecified eye 
H33.019,Retinal detachment with single break unspecified eye 
H33.029,Retinal detachment with multiple breaks unspecified eye 
H33.039,Retinal detachment with giant retinal tear unspecified eye 
H33.049,Retinal detachment with retinal dialysis unspecified eye 
H33.059,Total retinal detachment unspecified eye 
H33.8,Other retinal detachments 
H33.059,Total retinal detachment unspecified eye 
H33.109,Unspecified retinoschisis unspecified eye 
H33.199,Other retinoschisis and retinal cysts unspecified eye 
H33.199,Other retinoschisis and retinal cysts unspecified eye 
H33.199,Other retinoschisis and retinal cysts unspecified eye 
H33.199,Other retinoschisis and retinal cysts unspecified eye 
H33.199,Other retinoschisis and retinal cysts unspecified eye 
H33.23,Serous retinal detachment bilateral 
H33.309,Unspecified retinal break unspecified eye 
H33.329,Round hole unspecified eye 
H33.319,Horseshoe tear of retina without detachment unspecified eye 
H33.339,Multiple defects of retina without detachment unspecified eye 
H33.43,Traction detachment of retina bilateral 
H33.8,Other retinal detachments 
H33.20,Serous retinal detachment unspecified eye 
E11.319,Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema 
E11.359,Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema 
E11.329,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema 
E11.329,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema 
E11.339,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema 
E11.349,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema 
E11.311,Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema 
H35.00,Unspecified background retinopathy 
H35.039,Hypertensive retinopathy unspecified eye 
H33.199,Other retinoschisis and retinal cysts unspecified eye 
H33.199,Other retinoschisis and retinal cysts unspecified eye 
H33.199,Other retinoschisis and retinal cysts unspecified eye 
H33.199,Other retinoschisis and retinal cysts unspecified eye 
H33.23,Serous retinal detachment bilateral 
H33.309,Unspecified retinal break unspecified eye 
H33.329,Round hole unspecified eye 
H33.319,Horseshoe tear of retina without detachment unspecified eye 
H33.339,Multiple defects of retina without detachment unspecified eye 
H33.43,Traction detachment of retina bilateral 
H33.8,Other retinal detachments 
H33.20,Serous retinal detachment unspecified eye 
E11.319,Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema 
E11.359,Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema 
E11.329,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema 
E11.329,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema 
E11.339,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema 
E11.349,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema 
E11.311,Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema 
H35.00,Unspecified background retinopathy 
H35.039,Hypertensive retinopathy unspecified eye 
H35.029,Exudative retinopathy unspecified eye 
H35.019,Changes in retinal vascular appearance unspecified eye 
H35.049,Retinal micro-aneurysms unspecified unspecified eye 
H35.079,Retinal telangiectasis unspecified eye 
H35.059,Retinal neovascularization unspecified unspecified eye 
H35.09,Other intraretinal microvascular abnormalities 
H35.069,Retinal vasculitis unspecified eye 
H35.109,Retinopathy of prematurity unspecified unspecified eye 
H35.179,Retrolental fibroplasia unspecified eye 
H35.119,Retinopathy of prematurity stage 0 unspecified eye 
H35.129,Retinopathy of prematurity stage 1 unspecified eye 
H35.139,Retinopathy of prematurity stage 2 unspecified eye 
H35.149,Retinopathy of prematurity stage 3 unspecified eye 
H35.159,Retinopathy of prematurity stage 4 unspecified eye 
H35.169,Retinopathy of prematurity stage 5 unspecified eye 
H35.23,Other non-diabetic proliferative retinopathy bilateral 
H34.9,Unspecified retinal vascular occlusion 
H34.13,Central retinal artery occlusion bilateral 
H34.239,Retinal artery branch occlusion unspecified eye 
H34.219,Partial retinal artery occlusion unspecified eye 
H34.00,Transient retinal artery occlusion unspecified eye 
H34.819,Central retinal vein occlusion unspecified eye 
H34.839,Tributary (branch) retinal vein occlusion unspecified eye 
H34.829,Venous engorgement unspecified eye 
H35.70,Unspecified separation of retinal layers 
H35.719,Central serous chorioretinopathy unspecified eye 
H35.729,Serous detachment of retinal pigment epithelium unspecified eye 
H35.739,Hemorrhagic detachment of retinal pigment epithelium unspecified eye 
H35.30,Unspecified macular degeneration 
H35.31,Nonexudative age-related macular degeneration 
H35.32,Exudative age-related macular degeneration 
H35.359,Cystoid macular degeneration unspecified eye 
H35.349,Macular cyst hole or pseudohole unspecified eye 
H35.389,Toxic maculopathy unspecified eye 
H35.379,Puckering of macula unspecified eye 
H35.369,Drusen (degenerative) of macula unspecified eye 
H35.40,Unspecified peripheral retinal degeneration 
H35.439,Paving stone degeneration of retina unspecified eye 
H35.429,Microcystoid degeneration of retina unspecified eye 
H35.419,Lattice degeneration of retina unspecified eye 
H35.449,Age-related reticular degeneration of retina unspecified eye 
H35.459,Secondary pigmentary degeneration unspecified eye 
H35.469,Secondary vitreoretinal degeneration unspecified eye 
H35.50,Unspecified hereditary retinal dystrophy 
H36,Retinal disorders in diseases classified elsewhere 
H36,Retinal disorders in diseases classified elsewhere 
H35.51,Vitreoretinal dystrophy 
H35.52,Pigmentary retinal dystrophy 
H35.53,Other dystrophies primarily involving the sensory retina 
H35.54,Dystrophies primarily involving the retinal pigment epithelium 
H31.101,Choroidal degeneration unspecified right eye 
H35.60,Retinal hemorrhage unspecified eye 
H35.89,Other specified retinal disorders 
H35.81,Retinal edema 
H35.82,Retinal ischemia 
H35.89,Other specified retinal disorders 
H35.89,Other specified retinal disorders 
H35.9,Unspecified retinal disorder 
H30.009,Unspecified focal chorioretinal inflammation unspecified eye 
H30.019,Focal chorioretinal inflammation juxtapapillary unspecified eye 
H30.029,Focal chorioretinal inflammation of posterior pole unspecified eye 
H30.039,Focal chorioretinal inflammation peripheral unspecified eye 
H30.019,Focal chorioretinal inflammation juxtapapillary unspecified eye 
H30.049,Focal chorioretinal inflammation macular or paramacular unspecified eye 
H30.029,Focal chorioretinal inflammation of posterior pole unspecified eye 
H30.039,Focal chorioretinal inflammation peripheral unspecified eye 
H30.109,Unspecified disseminated chorioretinal inflammation unspecified eye 
H30.119,Disseminated chorioretinal inflammation of posterior pole unspecified eye 
H30.129,Disseminated chorioretinal inflammation peripheral unspecified eye 
H30.139,Disseminated chorioretinal inflammation generalized unspecified eye 
H30.109,Unspecified disseminated chorioretinal inflammation unspecified eye 
H30.149,Acute posterior multifocal placoid pigment epitheliopathy unspecified eye 
H30.93,Unspecified chorioretinal inflammation bilateral 
H30.23,Posterior cyclitis bilateral 
H30.819,Harada's disease unspecified eye 
H31.009,Unspecified chorioretinal scars unspecified eye 
H31.029,Solar retinopathy unspecified eye 
H31.019,Macula scars of posterior pole (postinflammatory) (post-traumatic) unspecified eye 
H31.019,Macula scars of posterior pole (postinflammatory) (post-traumatic) unspecified eye 
H31.099,Other chorioretinal scars unspecified eye 
H31.099,Other chorioretinal scars unspecified eye 
H31.109,Choroidal degeneration unspecified unspecified eye 
H31.119,Age-related choroidal atrophy unspecified eye 
H31.129,Diffuse secondary atrophy of choroid unspecified eye 
H35.33,Angioid streaks of macula 
H31.20,Hereditary choroidal dystrophy unspecified 
H31.29,Other hereditary choroidal dystrophy 
H31.29,Other hereditary choroidal dystrophy 
H31.22,Choroidal dystrophy (central areolar) (generalized) (peripapillary) 
H31.22,Choroidal dystrophy (central areolar) (generalized) (peripapillary) 
H31.21,Choroideremia 
H31.29,Other hereditary choroidal dystrophy 
H31.23,Gyrate atrophy choroid 
H31.309,Unspecified choroidal hemorrhage unspecified eye 
H31.319,Expulsive choroidal hemorrhage unspecified eye 
H31.329,Choroidal rupture unspecified eye 
H31.409,Unspecified choroidal detachment unspecified eye 
H31.429,Serous choroidal detachment unspecified eye 
H31.419,Hemorrhagic choroidal detachment unspecified eye 
H31.8,Other specified disorders of choroid 
H31.9,Unspecified disorder of choroid 
H20.00,Unspecified acute and subacute iridocyclitis 
H20.019,Primary iridocyclitis unspecified eye 
H20.029,Recurrent acute iridocyclitis unspecified eye 
H20.039,Secondary infectious iridocyclitis unspecified eye 
H20.049,Secondary noninfectious iridocyclitis unspecified eye 
H20.059,Hypopyon unspecified eye 
H20.13,Chronic iridocyclitis bilateral 
H20.9,Unspecified iridocyclitis 
H20.819,Fuchs' heterochromic cyclitis unspecified eye 
H40.40x0,Glaucoma secondary to eye inflammation unspecified eye stage unspecified 
H20.23,Lens-induced iridocyclitis bilateral 
H20.829,Vogt-Koyanagi syndrome unspecified eye 
H20.9,Unspecified iridocyclitis 
H21.03,Hyphema bilateral 
H21.1X9,Other vascular disorders of iris and ciliary body unspecified eye 
H21.269,Iris atrophy (essential) (progressive) unspecified eye 
H21.259,Iridoschisis unspecified eye 
H21.239,Degeneration of iris (pigmentary) unspecified eye 
H21.249,Degeneration of pupillary margin unspecified eye 
H21.279,Miotic pupillary cyst unspecified eye 
H21.219,Degeneration of chamber angle unspecified eye 
H21.229,Degeneration of ciliary body unspecified eye 
H21.29,Other iris atrophy 
H21.309,Idiopathic cysts of iris ciliary body or anterior chamber unspecified eye 
H21.329,Implantation cysts of iris ciliary body or anterior chamber unspecified eye 
H21.319,Exudative cysts of iris or anterior chamber unspecified eye 
H21.349,Primary cyst of pars plana unspecified eye 
H21.359,Exudative cyst of pars plana unspecified eye 
H21.509,Unspecified adhesions of iris and ciliary body unspecified eye 
H21.549,Posterior synechiae (iris) unspecified eye 
H21.519,Anterior synechiae (iris) unspecified eye 
H21.529,Goniosynechiae unspecified eye 
H21.43,Pupillary membranes bilateral 
H21.569,Pupillary abnormality unspecified eye 
H21.539,Iridodialysis unspecified eye 
H21.559,Recession of chamber angle unspecified eye 
H21.81,Floppy iris syndrome 
H21.82,Plateau iris syndrome (post-iridectomy) (postprocedural) 
H21.89,Other specified disorders of iris and ciliary body 
H21.9,Unspecified disorder of iris and ciliary body 
H40.009,Preglaucoma unspecified unspecified eye 
H40.019,Open angle with borderline findings low risk unspecified eye 
H40.039,Anatomical narrow angle unspecified eye 
H40.049,Steroid responder unspecified eye 
H40.059,Ocular hypertension unspecified eye 
H40.029,Open angle with borderline findings high risk unspecified eye 
H40.069,Primary angle closure without glaucoma damage unspecified eye 
H40.10x2,Unspecified open-angle glaucoma moderate stage 
H40.11x2,Primary open-angle glaucoma moderate stage 
H40.1290,Low-tension glaucoma unspecified eye stage unspecified 
H40.1390,Pigmentary glaucoma unspecified eye stage unspecified 
Q15.0,Congenital glaucoma 
H40.159,Residual stage of open-angle glaucoma unspecified eye 
H40.20x2,Unspecified primary angle-closure glaucoma moderate stage 
H40.239,Intermittent angle-closure glaucoma unspecified eye 
H40.219,Acute angle-closure glaucoma unspecified eye 
H40.2290,Chronic angle-closure glaucoma unspecified eye stage unspecified 
H40.249,Residual stage of angle-closure glaucoma unspecified eye 
H40.60x0,Glaucoma secondary to drugs unspecified eye stage unspecified 
H40.60x0,Glaucoma secondary to drugs unspecified eye stage unspecified 
H40.89,Other specified glaucoma 
H40.89,Other specified glaucoma 
H40.89,Other specified glaucoma 
H42,Glaucoma in diseases classified elsewhere 
H40.89,Other specified glaucoma 
H40.1490,Capsular glaucoma with pseudoexfoliation of lens unspecified eye stage unspecified 
H40.50x0,Glaucoma secondary to other eye disorders unspecified eye stage unspecified 
H40.50x0,Glaucoma secondary to other eye disorders unspecified eye stage unspecified 
H40.50x0,Glaucoma secondary to other eye disorders unspecified eye stage unspecified 
H40.40x0,Glaucoma secondary to eye inflammation unspecified eye stage unspecified 
H40.89,Other specified glaucoma 
H40.50x0,Glaucoma secondary to other eye disorders unspecified eye stage unspecified 
H40.30x0,Glaucoma secondary to eye trauma unspecified eye stage unspecified 
, 
, 
, 
, 
, 
H40.829,Hypersecretion glaucoma unspecified eye 
H40.819,Glaucoma with increased episcleral venous pressure unspecified eye 
H40.839,Aqueous misdirection unspecified eye 
H40.89,Other specified glaucoma 
H40.9,Unspecified glaucoma 
H26.009,Unspecified infantile and juvenile cataract unspecified eye 
H26.049,Anterior subcapsular polar infantile and juvenile cataract unspecified eye 
H26.059,Posterior subcapsular polar infantile and juvenile cataract unspecified eye 
H26.019,Infantile and juvenile cortical lamellar or zonular cataract unspecified eye 
H26.039,Infantile and juvenile nuclear cataract unspecified eye 
H26.069,Combined forms of infantile and juvenile cataract unspecified eye 
H25.9,Unspecified age-related cataract 
H25.89,Other age-related cataract 
H25.099,Other age-related incipient cataract unspecified eye 
H25.039,Anterior subcapsular polar age-related cataract unspecified eye 
H25.049,Posterior subcapsular polar age-related cataract unspecified eye 
H25.019,Cortical age-related cataract unspecified eye 
H25.10,Age-related nuclear cataract unspecified eye 
H25.89,Other age-related cataract 
H25.20,Age-related cataract morgagnian type unspecified eye 
H25.819,Combined forms of age-related cataract unspecified eye 
H26.109,Unspecified traumatic cataract unspecified eye 
H26.119,Localized traumatic opacities unspecified eye 
H26.139,Total traumatic cataract unspecified eye 
H26.129,Partially resolved traumatic cataract unspecified eye 
H26.20,Unspecified complicated cataract 
H26.239,Glaucomatous flecks (subcapsular) unspecified eye 
H26.229,Cataract secondary to ocular disorders (degenerative) (inflammatory) unspecified eye 
H26.219,Cataract with neovascularization unspecified eye 
H26.229,Cataract secondary to ocular disorders (degenerative) (inflammatory) unspecified eye 
E13.36,Other specified diabetes mellitus with diabetic cataract 
H28,Cataract in diseases classified elsewhere 
H28,Cataract in diseases classified elsewhere 
H28,Cataract in diseases classified elsewhere 
H26.30,Drug-induced cataract unspecified eye 
H26.8,Other specified cataract 
H26.40,Unspecified secondary cataract 
H26.419,Soemmering's ring unspecified eye 
H26.499,Other secondary cataract unspecified eye 
H26.499,Other secondary cataract unspecified eye 
H26.8,Other specified cataract 
H26.9,Unspecified cataract 
H52.03,Hypermetropia bilateral 
H52.13,Myopia bilateral 
H52.209,Unspecified astigmatism unspecified eye 
H52.229,Regular astigmatism unspecified eye 
H52.219,Irregular astigmatism unspecified eye 
H52.31,Anisometropia 
H52.32,Aniseikonia 
H52.4,Presbyopia 
H52.529,Paresis of accommodation unspecified eye 
H52.519,Internal ophthalmoplegia (complete) (total) unspecified eye 
H52.539,Spasm of accommodation unspecified eye 
H52.6,Other disorders of refraction 
H52.6,Other disorders of refraction 
H52.7,Unspecified disorder of refraction 
H53.009,Unspecified amblyopia unspecified eye 
H53.039,Strabismic amblyopia unspecified eye 
H53.019,Deprivation amblyopia unspecified eye 
H53.029,Refractive amblyopia unspecified eye 
H53.10,Unspecified subjective visual disturbances 
H53.139,Sudden visual loss unspecified eye 
